experiment,method,sigmoid_k,pca_components,ffnn_epochs,traj_length,synth_pct,fold_idx,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
grid_stage1,FORGE,0.0,5,30,4500,60,1,0.22323760390281677,0.9700984954833984,0.9216201305389404,0.5966680645942688,0.04371148720383644,0.9424138069152832,0.910535126741706,0.001038298012952736,0.10907509360068501,0.0003672427281333795,0.10907509360068501,0.054721168164409195,0.009719620428093234,0.008681322415140498,0.19836763662171752,0.08929254302103251,0.0011876484560570072,0.0008204057279236277,0.20403891801834106,0.9442118406295776,0.8961676359176636,0.5741254091262817,0.07525373995304108,0.8957318663597107,0.8264453081193707,0.00633887528886759,0.034509782102761954,0.002703156124253321,0.034509782102761954,0.018606469113507638,0.06307772625372356,0.06941660154259115,0.18346344925479063,0.2179732313575526,0.0576330487256853,0.05492989260143198
grid_stage1,FORGE,10.0,15,10,4500,60,0,0.16352201998233795,0.9824618697166443,0.9534501433372498,0.5729919672012329,0.03063560649752617,0.9656441807746887,0.8004947107184416,0.0014757515456185121,0.10735177865612648,0.0019160815098318831,0.10735177865612648,0.05463393008297918,0.006485722847724646,0.005009971302106134,0.1590909090909091,0.05173913043478261,0.0012838107043251139,0.003199892214156997,0.5560756921768188,0.976992666721344,0.962081253528595,0.7665342092514038,0.03556123375892639,0.9562525749206543,0.9550561979938789,0.015043141731312833,0.07924336533032184,0.009435485253807989,0.07924336533032184,0.044339425292064916,0.05456141101930733,0.06960455275062016,0.7259740259740259,0.8052173913043478,0.031674708929124794,0.04111019418293278
grid_stage1,FORGE,10.0,15,20,4500,60,0,0.3152371346950531,0.9839828610420227,0.960291862487793,0.6496099829673767,0.02587682008743286,0.9686978459358215,0.9071000709355523,0.010248697734598074,0.35211180124223607,0.001142810073930892,0.35211180124223607,0.1766273056580835,0.016117984502761248,0.005869286768163172,0.4142857142857143,0.06217391304347826,0.002545486741334278,0.00368829681526517,0.5169020891189575,0.9759883880615234,0.9597247838973999,0.7464452385902405,0.035941965878009796,0.9542506337165833,0.9511250483198636,0.006814990013247209,0.13872953133822696,0.0008624099111454106,0.13872953133822696,0.06979597062468619,0.055396207029410505,0.062211197042657713,0.6077922077922078,0.7465217391304347,0.0365664704059498,0.03570406049480439
grid_stage1,FORGE,10.0,5,30,2000,40,1,0.22323760390281677,0.9700984954833984,0.9216201305389404,0.5966680645942688,0.04371148720383644,0.9424138069152832,0.910535126741706,0.001038298012952736,0.10907509360068501,0.0003672427281333795,0.10907509360068501,0.054721168164409195,0.009719620428093234,0.008681322415140498,0.19836763662171752,0.08929254302103251,0.0011876484560570072,0.0008204057279236277,0.22727273404598236,0.9337554574012756,0.8878980278968811,0.5805140733718872,0.08551014214754105,0.8779720664024353,0.8027706432613565,0.00814078377987855,0.1392915252535259,0.02717547111408826,0.1392915252535259,0.08323349818380707,0.09687375241838897,0.08873296863851042,0.18594748048261178,0.3252390057361377,0.09284522051742955,0.06566974940334129
grid_stage1,FORGE,0.0,15,20,2000,40,2,0.037892550230026245,0.9708314538002014,0.9174166321754456,0.5043619871139526,0.04346417635679245,0.9433795213699341,0.8890324580019001,0.002795129438100516,0.04208788407518053,0.0007470240728467683,0.04208788407518053,0.02141745407401365,0.0030702604873634543,0.0002751310492629384,0.04413659793814433,0.002048713862963806,0.0009016672337529772,0.00015464316090620892,0.5267377495765686,0.9566956758499146,0.9320787191390991,0.741716742515564,0.05381054803729057,0.920651912689209,0.9369588012341854,0.04572898294095394,0.01213153071545403,0.03919047067690216,0.03919047067690216,0.025661000696178094,0.08629047896063603,0.13201946190158997,0.7783505154639175,0.7662189847484635,0.04974481116025859,0.08893528183716075
grid_stage1,FORGE,0.0,15,30,2000,40,0,0.31925612688064575,0.9833953976631165,0.9598676562309265,0.6513257622718811,0.02550709806382656,0.9675815105438232,0.9268103198774967,0.008284388801774735,0.36702428006775834,0.0036709650691762728,0.36702428006775834,0.1853476225684673,0.01690997046106426,0.008625581659289524,0.4344155844155844,0.06739130434782609,0.002678294745229979,0.006349259814406252,0.5052036046981812,0.9763307571411133,0.959640622138977,0.7407671809196472,0.03514978289604187,0.9548226594924927,0.9521540671377106,0.012355680117209847,0.09822699040090344,0.01909941755648269,0.09822699040090344,0.05866320397869306,0.06290937112033905,0.0505536910031292,0.5922077922077922,0.6904347826086956,0.04486697064943114,0.02576755309294845
grid_stage1,FORGE,0.0,10,20,750,20,0,0.3881899118423462,0.9827015995979309,0.9616404175758362,0.6854457855224609,0.02584860660135746,0.9663545489311218,0.9456632386961407,0.0178632994440101,0.38160926030491243,0.006098123026063773,0.38160926030491243,0.1938536916654881,0.02973158097521298,0.01186828153120288,0.5298701298701298,0.1482608695652174,0.012683164372039488,0.006585041345975715,0.5970624089241028,0.9791024327278137,0.9655683040618896,0.7880824208259583,0.030740661546587944,0.9602656960487366,0.966627554975053,0.009852424165219413,0.0365612648221344,0.005324705459681486,0.0365612648221344,0.020942985140907942,0.057579519671218805,0.06743194383643822,0.8090909090909091,0.8456521739130435,0.03196245960423215,0.037287165063913635
grid_stage1,FORGE,10.0,10,20,2000,40,1,0.4078245460987091,0.9703896641731262,0.9338738322257996,0.6891071200370789,0.042411912232637405,0.9435994029045105,0.8935200724238321,0.013503356962885495,0.24837326826858747,0.012763426429763115,0.24837326826858747,0.1305683473491753,0.03674415747934773,0.023240800516462233,0.46061036195883603,0.21223709369024857,0.01757398728895166,0.004810560859188544,0.5736176371574402,0.9642422199249268,0.9388869404792786,0.7689299583435059,0.04871558025479317,0.9340178370475769,0.9355731500680238,0.0032950770621036074,0.01536055431689487,0.026545890263672822,0.026545890263672822,0.020953222290283846,0.0882750360838989,0.09157011314600251,0.6937544357700497,0.6783938814531548,0.06089105732811196,0.03434516706443914
grid_stage1,FORGE,10.0,10,10,750,20,1,0.4000343680381775,0.970453143119812,0.9334275722503662,0.6852437257766724,0.043051403015851974,0.9436800479888916,0.8804836074333711,0.008434908131700884,0.21233941325024733,0.00916790605082489,0.21233941325024733,0.1107536596505361,0.03296686423241102,0.024531956100710135,0.42725337118523776,0.21491395793499043,0.015134493162996726,0.0059665871121718375,0.60967618227005,0.9683064222335815,0.9450278878211975,0.7889913320541382,0.04510006681084633,0.941373348236084,0.9356452667469394,0.0221758345959195,0.11915357026056206,0.0010664132530168458,0.11915357026056206,0.06010999175678945,0.07476276755827166,0.09693860215419116,0.7828246983676366,0.6636711281070745,0.04273929511459203,0.04167288186157518
grid_stage1,FORGE,10.0,15,10,2000,40,1,0.08730249851942062,0.9664309620857239,0.9093672037124634,0.5268667340278625,0.0529993437230587,0.9352437257766724,0.7640836631281828,0.007193898543851692,0.04175072295418553,0.0028851160598293525,0.04175072295418553,0.02231791950700744,0.0026256794521389306,0.009819577995990623,0.0205819730305181,0.06233269598470363,0.0018135712910059703,0.004698687350835323,0.3372093141078949,0.9600294232368469,0.9196024537086487,0.6486193537712097,0.05968768894672394,0.9246056079864502,0.7967118680447932,0.06423394426028856,0.28649612501984645,0.03780409479974989,0.28649612501984645,0.16215010990979817,0.018349046463777906,0.08258299072406645,0.10929737402413059,0.39579349904397704,0.014235732169223856,0.052039826968973746
