config_id,fold,delta_scale,ffnn_opt,reinforce_opt,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
0003,1,0.11262658534061014,sgd,adam,0.35794058442115784,0.9701599478721619,0.9304211139678955,0.664050281047821,0.041048794984817505,0.9429702758789062,0.9120674344265612,0.00535620711026091,0.12169418936175119,0.009569148213287353,0.12169418936175119,0.06563166878751928,0.026456407579154254,0.021100200468893344,0.3239886444286728,0.20229445506692162,0.01299993580278616,0.003430787589498807,0.6184999346733093,0.9698306918144226,0.9470260143280029,0.794165313243866,0.045671507716178894,0.9440832734107971,0.9206976701118115,0.004633650027731223,0.24254186756266394,0.011863616868729568,0.24254186756266394,0.12720274221569675,0.07946135184104659,0.08409500186877782,0.8559261887863733,0.6133843212237093,0.04434422546061501,0.032480608591885445
0003,2,0.11262658534061014,sgd,adam,0.4815392792224884,0.9761050343513489,0.9477890133857727,0.7288221716880798,0.03410044685006142,0.9543156623840332,0.9394296090450708,0.011342821756149105,0.2555570336829211,0.0020657108730111565,0.2555570336829211,0.12881137227796613,0.03684312584836145,0.025500304092212343,0.5202963917525774,0.26473935806965626,0.01131337189520245,0.009247661022191293,0.5595564842224121,0.9663673639297485,0.9430756568908691,0.7629619240760803,0.046642106026411057,0.9375066757202148,0.934219902874674,0.03766929679740809,0.06479952290546576,0.034547174280343,0.06479952290546576,0.04967334859290438,0.06476633701764592,0.10243563381505401,0.7313144329896907,0.6665149100842249,0.029567880231371215,0.06411505451171422
0004,0,0.27470957199199836,sgd,adamw,0.3336288034915924,0.9821974039077759,0.9592211842536926,0.657913088798523,0.027024267241358757,0.9653213024139404,0.9133496774026428,0.014662688106169938,0.2879672501411632,0.005900832710605618,0.2879672501411632,0.1469340414258844,0.02495826019949484,0.010295572093324903,0.41753246753246753,0.12956521739130436,0.011576431006241976,0.005675598295636358,0.4620332717895508,0.962002694606781,0.944290816783905,0.7120180130004883,0.05315270274877548,0.9290188550949097,0.9574334381426043,0.00116247437901483,0.014138904573687272,0.005263461876745298,0.014138904573687272,0.009701183225216285,0.09717881758636927,0.09601634320735444,0.8519480519480519,0.8660869565217392,0.07145070609588738,0.06618724421914209
0004,1,0.27470957199199836,sgd,adamw,0.4024757146835327,0.9705893993377686,0.9337133765220642,0.6865325570106506,0.04299427196383476,0.943938136100769,0.8878357330358028,0.014035277244132387,0.2802962924765269,0.010944662576226529,0.2802962924765269,0.1456204775263767,0.035577188833952646,0.02154191158982026,0.4730305180979418,0.1927342256214149,0.015792514604866147,0.004847852028639618,0.532403826713562,0.9516504406929016,0.9244373440742493,0.7420271635055542,0.06603936105966568,0.9123625159263611,0.9383774687136796,0.01541849149926286,0.09827970150914567,0.011001998617078637,0.09827970150914567,0.05464085006311215,0.11519208918097226,0.13061058068023512,0.8325053229240597,0.734225621414914,0.08275020864094498,0.07174821002386635
0004,2,0.27470957199199836,sgd,adamw,0.40195709466934204,0.9747030735015869,0.9419108033180237,0.6883300542831421,0.035329319536685944,0.9514594078063965,0.9329075191986957,0.0006517099397192021,0.07621712788151724,0.00013696627424188666,0.07621712788151724,0.03817704707787956,0.024255057850171288,0.023603347910452085,0.32957474226804123,0.253357614386524,0.008132017693092889,0.007995051418851002,0.497097909450531,0.948579728603363,0.9227304458618164,0.722838819026947,0.060946471989154816,0.9066991209983826,0.9389104798763983,0.05496462596382702,0.06766556623588138,0.052013928565856744,0.06766556623588138,0.05983974740086906,0.09928252860190033,0.15424715456572735,0.8450386597938144,0.777373093557933,0.05990132698196666,0.1119152555478234
0005,0,0.15854295886344594,sgd,adam,0.4268852472305298,0.9834068417549133,0.9636915326118469,0.705146074295044,0.02507529966533184,0.9677475690841675,0.9409562451181993,0.021290020347237183,0.4421569734613213,0.007641291849431568,0.4421569734613213,0.22489913265537645,0.03296373988612526,0.011673719538888079,0.6038961038961039,0.1617391304347826,0.013502147062729647,0.005860855213298079,0.43719011545181274,0.9595985412597656,0.941091775894165,0.6983942985534668,0.05703355744481087,0.9246090650558472,0.9488739977364387,0.011922971117295553,0.022665160926030437,0.016552136988934152,0.022665160926030437,0.019608648957482294,0.10531272742840019,0.09338975631110463,0.812987012987013,0.8356521739130435,0.08118995971490549,0.06463782272597134
0005,1,0.15854295886344594,sgd,adam,0.4517897069454193,0.9720219373703003,0.9382539391517639,0.711905837059021,0.04067452624440193,0.9467609524726868,0.9052360437384319,0.01586896392650218,0.32741824952131005,0.012208074804845832,0.32741824952131005,0.16981316216307793,0.039738353345821945,0.023869389419319764,0.5507452093683464,0.22332695984703632,0.0166270783847981,0.004419003579952267,0.46409717202186584,0.9493712186813354,0.9178723096847534,0.7067341804504395,0.06699392199516296,0.9074829816818237,0.9102556554540275,0.008891443510208985,0.014639703517540292,0.016170612876934554,0.016170612876934554,0.015405158197237423,0.10350704787642416,0.11239849138663315,0.6266855926188787,0.6120458891013384,0.07984528471464339,0.06367467183770883
0005,2,0.15854295886344594,sgd,adam,0.4110228717327118,0.9748983979225159,0.9426141381263733,0.6929606199264526,0.03576161712408066,0.9518489241600037,0.9347437631674377,0.0036424446943854015,0.14466826910666217,0.0006161772268503361,0.14466826910666217,0.07264222316675625,0.02642039945704867,0.02277795476266327,0.37822164948453607,0.2335533803778739,0.007842803674719291,0.008458980901569628,0.4681257903575897,0.9588085412979126,0.9307147860527039,0.7134671807289124,0.05671050772070885,0.9235386848449707,0.9144650431763292,0.028011265104341182,0.07134959905754468,0.02632342172750092,0.07134959905754468,0.0488365103925228,0.07173098054424407,0.09974224564858525,0.6295103092783505,0.5581607102208058,0.04227628445049336,0.06859970617799428
0006,0,0.26632748194291,adamw,adam,0.5354889631271362,0.9831055998802185,0.9672483801841736,0.759297251701355,0.026124034076929092,0.9673970341682434,0.947312846458403,0.00515375739539272,0.19414455110107282,0.0006640948184089904,0.19414455110107282,0.0974043229597409,0.03769425061004324,0.032540493214650516,0.6467532467532467,0.45260869565217393,0.016933020496701933,0.016268925678292943,0.5154951810836792,0.9703040719032288,0.9541919827461243,0.7428996562957764,0.04597029089927673,0.9440380334854126,0.9564063010596495,0.03468200884469955,0.028362507058159125,0.040487310396940014,0.040487310396940014,0.034424908727549566,0.09981163577207929,0.06512962692737974,0.8233766233766234,0.8517391304347826,0.07514719553765106,0.03465988514071105
0006,1,0.26632748194291,adamw,adam,0.35257846117019653,0.9707930088043213,0.9306650161743164,0.6616857051849365,0.043955229222774506,0.9441074728965759,0.902267886878316,0.011032188075246373,0.08449356567382316,0.00467434407186227,0.08449356567382316,0.04458395487284271,0.016184012529558086,0.02721620060480446,0.17955997161107168,0.26405353728489483,0.008795018296205945,0.004120674224343675,0.5145768523216248,0.9689215421676636,0.939430296421051,0.7417491674423218,0.044628582894802094,0.9415830373764038,0.930652398036312,0.02222388430643938,0.1874221577485355,0.010112871035764588,0.1874221577485355,0.09876751439215004,0.04488222829591868,0.06710611260235806,0.3552164655784244,0.5426386233269599,0.030846761250561724,0.020733890214797136
0006,2,0.26632748194291,adamw,adam,0.45974528789520264,0.9718835949897766,0.9425614476203918,0.715814471244812,0.04112575203180313,0.9465488791465759,0.9166779655548342,0.0011801060886845877,0.19958386233018316,0.005160106579077287,0.19958386233018316,0.10237198445463022,0.042304957662723804,0.041124851574039216,0.5141752577319587,0.31459139540177555,0.017386866281047974,0.02254697286012526,0.4911889135837555,0.9666351675987244,0.939413845539093,0.7289120554924011,0.0479084812104702,0.937376856803894,0.931766330143112,0.025320548231241663,0.17223042281417716,0.03002158479668831,0.17223042281417716,0.10112600380543274,0.05246913580246913,0.0777896840337108,0.6288659793814433,0.4566355565672661,0.022031303164341612,0.05205288796102992
0007,0,0.05351042504100474,sgd,adamw,0.475635290145874,0.9833032488822937,0.9653186798095703,0.7294692993164062,0.022766372188925743,0.9676368832588196,0.963424919400475,0.02184343901993813,0.45852625635234334,0.007950705250045384,0.45852625635234334,0.23323848080119436,0.03872169185324714,0.016878252833309012,0.688961038961039,0.23043478260869565,0.01655673115233078,0.008606025902285397,0.46421176195144653,0.9643521308898926,0.9466341733932495,0.7142819166183472,0.05159597098827362,0.93315190076828,0.9494375480707922,0.014152762133354257,0.032665160926030445,0.016873539426305435,0.032665160926030445,0.02476935017616794,0.09739286784537009,0.08324010571201583,0.837012987012987,0.8043478260869565,0.07218115011731374,0.055307610691008306
0007,1,0.05351042504100474,sgd,adamw,0.3572596609592438,0.9701481461524963,0.9303658604621887,0.6637039184570312,0.04110429063439369,0.9429460763931274,0.9079289100655683,0.008418409662724686,0.1728883020516836,0.00957174449455266,0.1728883020516836,0.09123002327311813,0.027853698983508892,0.019435289320784206,0.3566359119943222,0.1837476099426386,0.01298388649932593,0.00341214200477327,0.5183213353157043,0.9664309024810791,0.9373443126678467,0.7423760890960693,0.04549553617835045,0.9372358322143555,0.9231227505803543,0.012090484801565826,0.1250897331685002,0.018762726207079986,0.1250897331685002,0.07192622968779008,0.059653594570524826,0.07174407937209065,0.43896380411639463,0.5640535372848948,0.04249855556268858,0.02373582935560859
0007,2,0.05351042504100474,sgd,adamw,0.48000001907348633,0.9761710166931152,0.9477630257606506,0.7280855178833008,0.034343231469392776,0.9544302225112915,0.9385872269169053,0.011427822517074606,0.25662187207389453,0.0020517579978177897,0.25662187207389453,0.12933681503585617,0.03640682567384138,0.024979003156766776,0.5177190721649485,0.26109720009105397,0.010990132698196665,0.008938374700378875,0.5882827639579773,0.9708025455474854,0.9489015936851501,0.7795426845550537,0.04136195033788681,0.9454720616340637,0.936351221601687,0.011514698518457461,0.08523070618439355,0.00808413566640876,0.08523070618439355,0.04665742092540115,0.06911317949712364,0.0806278780155811,0.7303479381443299,0.6451172319599363,0.03419530452534876,0.04227944019175752
0008,0,0.2063164573184081,sgd,adamw,0.46380406618118286,0.9835550785064697,0.9651424288749695,0.7236795425415039,0.02304712124168873,0.9680889248847961,0.9610784258783256,0.023687065002853586,0.4900734048560136,0.00862195747978311,0.4900734048560136,0.24934768116789835,0.03756582045464275,0.01387875545178916,0.6831168831168831,0.19304347826086957,0.01556067112311302,0.006938713643329909,0.49664539098739624,0.9687587022781372,0.9520335793495178,0.7327020168304443,0.046052925288677216,0.9411688446998596,0.9541601272954425,0.023952503357741864,0.0050705815923207664,0.02842875355412163,0.02842875355412163,0.0167496675732212,0.09508112504816131,0.07112862169041945,0.8162337662337662,0.821304347826087,0.07049891540130152,0.042070161847179884
