config_id,seed,ffnn_lr,reinforce_lr,delta_scale,ffnn_opt,reinforce_opt,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
0003,2,0.003247943069996102,0.0001724797020759017,0.11262658534061014,sgd,adam,0.6306775808334351,0.894243061542511,0.8286247849464417,0.7624603509902954,0.11140679568052292,0.8355710506439209,0.891351441659043,0.23566215874879676,0.3578974865037442,0.10640206807610574,0.3578974865037442,0.23214977728992497,0.03582554517133956,0.2714877039201363,0.2570093457943925,0.6149068322981367,0.008177570093457943,0.11457963816956368,0.6356996893882751,0.8557214140892029,0.800943911075592,0.745710551738739,0.1440609097480774,0.7933034896850586,0.8636136883331605,0.10545668173857109,0.08710889882161721,0.010085103420381741,0.08710889882161721,0.048597001120999475,0.2466251298026999,0.352081811541271,0.7990654205607477,0.7119565217391305,0.17757009345794392,0.18765519687832566
0004,0,0.00041715277661223254,0.0002881797740567003,0.27470957199199836,sgd,adamw,0.5357872843742371,0.8820288777351379,0.7958271503448486,0.7089080810546875,0.12908275425434113,0.8118680715560913,0.8483760782724482,0.18862415456301024,0.337359464935717,0.08150923473227399,0.337359464935717,0.2094343498339955,0.027993779160186624,0.21661793372319688,0.14746543778801843,0.4848249027237354,0.012850467289719626,0.09435970202199362,0.6240257620811462,0.832354724407196,0.7804883122444153,0.7281902432441711,0.15386460721492767,0.7681087255477905,0.8554253858829,0.11926838437029152,0.09300148828202048,0.029814377074126514,0.09300148828202048,0.0614079326780735,0.2866770347330223,0.40594541910331383,0.8525345622119815,0.7595330739299611,0.21495327102803738,0.2447676481021639
0004,1,0.00041715277661223254,0.0002881797740567003,0.27470957199199836,sgd,adamw,0.60128253698349,0.8877322673797607,0.8164165616035461,0.7445074319839478,0.12181602418422699,0.8247969746589661,0.8703325309504195,0.23537908635727023,0.3785681645087586,0.10844157047303181,0.3785681645087586,0.2435048674908952,0.03088008234688626,0.2662591687041565,0.20297029702970298,0.5815384615384616,0.010913268236645606,0.11935483870967742,0.6506224274635315,0.8505502343177795,0.800775408744812,0.7505863308906555,0.1434893161058426,0.7906514406204224,0.8716308807413701,0.17879668347412253,0.056298552932216306,0.07745517654542872,0.07745517654542872,0.06687686473882251,0.2290272774060731,0.4078239608801956,0.8316831683168316,0.7753846153846153,0.15910396323951753,0.23655913978494625
0004,2,0.00041715277661223254,0.0002881797740567003,0.27470957199199836,sgd,adamw,0.6097102165222168,0.8897863030433655,0.8200574517250061,0.7497482299804688,0.11759216338396072,0.8281120657920837,0.8774618466483738,0.23165183369780493,0.3618665466999478,0.10736225810836347,0.3618665466999478,0.23461440240415563,0.03374870197300104,0.26540053567080596,0.22897196261682243,0.5908385093167702,0.009345794392523364,0.11670805250088684,0.6429149508476257,0.8417653441429138,0.7922587394714355,0.7423401474952698,0.14710599184036255,0.7807061076164246,0.8708123590674806,0.12683269275843162,0.11067655424624134,0.03321233916713359,0.11067655424624134,0.07194444670668747,0.278816199376947,0.40564889213537864,0.8878504672897196,0.7771739130434783,0.20268691588785046,0.23589925505498405
0005,0,0.0008796004257632532,1.590019374041111em05,0.15854295886344594,sgd,adam,0.5738095045089722,0.8874921798706055,0.8093964457511902,0.7306508421897888,0.12289484590291977,0.8219791054725647,0.8653977437866263,0.21070934853983064,0.3741182377306389,0.09150316775684358,0.3741182377306389,0.23281070274374124,0.025401762571280455,0.2361111111111111,0.16129032258064516,0.535408560311284,0.008177570093457943,0.09968073785030153,0.5676044821739197,0.8116597533226013,0.7508988380432129,0.6896321177482605,0.17225921154022217,0.7376098036766052,0.8100293554007737,0.020330656431990668,0.20410263766608694,0.09934651546747209,0.20410263766608694,0.1517245765667795,0.37169517884914466,0.351364522417154,0.8663594470046083,0.6622568093385214,0.30899532710280375,0.20964881163533167
0005,1,0.0008796004257632532,1.590019374041111em05,0.15854295886344594,sgd,adam,0.6073687672615051,0.8875146508216858,0.817768394947052,0.7474417090415955,0.11888591945171356,0.825128436088562,0.8776409648461067,0.24418104234749027,0.39890327494287886,0.11360195495935059,0.39890327494287886,0.25625261495111473,0.03088008234688626,0.27506112469437655,0.19801980198019803,0.5969230769230769,0.011487650775416428,0.12508960573476702,0.6204056143760681,0.8655442595481873,0.8045135736465454,0.7429749369621277,0.13355661928653717,0.8014255166053772,0.861265682393313,0.09238341636392694,0.1163214013709063,0.0003388651106870366,0.1163214013709063,0.05833013324079667,0.21152856407617088,0.3039119804400978,0.7524752475247525,0.6361538461538462,0.14876507754164273,0.14910394265232976
0005,2,0.0008796004257632532,1.590019374041111em05,0.15854295886344594,sgd,adam,0.6230483651161194,0.891851544380188,0.8249291777610779,0.7574499845504761,0.11540382355451584,0.8319244384765625,0.883214420792875,0.23587340813913182,0.35635920357578227,0.10913593671779945,0.35635920357578227,0.23274757014679087,0.036344755970924195,0.272218164110056,0.2523364485981308,0.6086956521739131,0.009345794392523364,0.11848173111032281,0.5927240252494812,0.8414507508277893,0.7795267701148987,0.7170873880386353,0.15136617422103882,0.7717553377151489,0.8366458934618477,0.05175647989489868,0.1484297904452313,0.028759701358936213,0.1484297904452313,0.08859474590208376,0.2762201453790239,0.3279766252739226,0.794392523364486,0.6459627329192547,0.21144859813084113,0.18268889677190492
0006,0,0.008574577609317105,8.995380802416628em05,0.26632748194291,adamw,adam,0.5823482871055603,0.8887489438056946,0.8124662041664124,0.7355486154556274,0.12988829612731934,0.824299693107605,0.8727221205243594,0.17699191169560327,0.13340386236080976,0.08939609558635826,0.13340386236080976,0.111399978973584,0.05132192846034215,0.2283138401559454,0.3778801843317972,0.511284046692607,0.009929906542056074,0.09932600212841433,0.6145251393318176,0.8487015962600708,0.7904001474380493,0.7316133975982666,0.1511055827140808,0.7826951742172241,0.8513075775373143,0.22647820735526392,0.1129839157955137,0.13395168963608095,0.13395168963608095,0.12346780271579733,0.1607050285121825,0.3871832358674464,0.5990783410138248,0.7120622568093385,0.10514018691588785,0.23909187655196878
0006,1,0.008574577609317105,8.995380802416628em05,0.26632748194291,adamw,adam,0.6159695982933044,0.8788837194442749,0.8134275674819946,0.7474266290664673,0.13040435314178467,0.8158462047576904,0.8746996941619223,0.24292444698352933,0.23352627570449347,0.133504001119943,0.23352627570449347,0.18351513841221823,0.06587750900669069,0.30880195599022003,0.3910891089108911,0.6246153846153846,0.028144744399770247,0.16164874551971326,0.6251605153083801,0.8694972395896912,0.8086661100387573,0.7473288774490356,0.13365869224071503,0.8063981533050537,0.8696482377208522,0.21166182408923262,0.13722010662604722,0.10439474697316874,0.13722010662604722,0.12080742679960799,0.1240349974266598,0.3356968215158924,0.5297029702970297,0.666923076923077,0.07696726019529006,0.1813620071684588
0006,2,0.008574577609317105,8.995380802416628em05,0.26632748194291,adamw,adam,0.6274653673171997,0.8906518220901489,0.825127899646759,0.7590585947036743,0.12308505922555923,0.8309298753738403,0.8807857455416614,0.17205371575161926,0.06750304754164982,0.0783433427376978,0.0783433427376978,0.07292319513967381,0.0877466251298027,0.25980034088142195,0.514018691588785,0.5815217391304348,0.0344626168224299,0.1128059595601277,0.6498550176620483,0.8597957491874695,0.807528018951416,0.7548253536224365,0.14052535593509674,0.7997679710388184,0.8732629281755129,0.20126643440611613,0.025700934579439227,0.1027803241024689,0.1027803241024689,0.06424062934095406,0.18587746625129803,0.38714390065741416,0.7242990654205608,0.75,0.1185747663551402,0.2213550904576091
