experiment,method,sigmoid_k,pca_components,ffnn_epochs,traj_length,synth_pct,seed,alpha_f1_minority,alpha_f1_majority,alpha_f1_weighted,alpha_f1_macro,alpha_brier,alpha_acc,alpha_auc,alpha_dp_diff,alpha_eo_tpr_diff,alpha_eod_fpr_diff,alpha_eod_max_diff,alpha_eod_avg_diff,alpha_dp_rate_g0,alpha_dp_rate_g1,alpha_tpr_g0,alpha_tpr_g1,alpha_fpr_g0,alpha_fpr_g1,beta_f1_minority,beta_f1_majority,beta_f1_weighted,beta_f1_macro,beta_brier,beta_acc,beta_auc,beta_dp_diff,beta_eo_tpr_diff,beta_eod_fpr_diff,beta_eod_max_diff,beta_eod_avg_diff,beta_dp_rate_g0,beta_dp_rate_g1,beta_tpr_g0,beta_tpr_g1,beta_fpr_g0,beta_fpr_g1
grid_stage1,FORGE,10.0,10,10,750,20,2,0.5845661759376526,0.8913747668266296,0.8149904608726501,0.7379704713821411,0.12161494791507721,0.827780544757843,0.8598698388171321,0.17307507052392124,0.21334242758460553,0.06972028093743059,0.21334242758460553,0.14153135426101807,0.04776739356178609,0.22084246408570732,0.3037383177570093,0.5170807453416149,0.015771028037383176,0.08549130897481376,0.6135636568069458,0.8648769855499268,0.8023090362548828,0.7392203211784363,0.14277911186218262,0.7997679710388184,0.8475089199099208,0.0743267895326496,0.056481105241771634,0.021345061714069746,0.056481105241771634,0.03891308347792069,0.2185877466251298,0.2929145361577794,0.6869158878504673,0.6304347826086957,0.16004672897196262,0.13870166725789287
grid_stage1,FORGE,10.0,10,20,2000,40,0,0.5902534127235413,0.8893800973892212,0.8149083256721497,0.7398167848587036,0.12086278945207596,0.8257914781570435,0.8698467518185861,0.24225009776904677,0.48137495741361686,0.10667143515464157,0.48137495741361686,0.2940231962841292,0.011404872991187144,0.2536549707602339,0.09216589861751152,0.5735408560311284,0.0011682242990654205,0.10783965945370699,0.605471134185791,0.852096676826477,0.7906957864761353,0.728783905506134,0.14698371291160583,0.784850001335144,0.8499666890111353,0.09426603488157062,0.08674353135254353,0.010562504765725234,0.08674353135254353,0.048653018059134384,0.23224468636599274,0.32651072124756336,0.7373271889400922,0.6505836575875487,0.16822429906542055,0.17878680383114579
grid_stage1,FORGE,10.0,10,20,2000,40,1,0.598774790763855,0.8891474604606628,0.8168550729751587,0.7439610958099365,0.11917387694120407,0.8262887597084045,0.875586028016496,0.24330447081681214,0.42422696115765424,0.11196589114730338,0.42422696115765424,0.2680964261524788,0.019042717447246525,0.2623471882640587,0.15346534653465346,0.5776923076923077,0.0034462952326249283,0.11541218637992831,0.6238738894462585,0.843082070350647,0.7885071039199829,0.7334779500961304,0.15592975914478302,0.7785512804985046,0.8482649191940358,0.12315741921033058,0.08000761614623009,0.02514457352611174,0.08000761614623009,0.052576094836170914,0.25630468347915597,0.37946210268948655,0.806930693069307,0.7269230769230769,0.19241815048822516,0.2175627240143369
grid_stage1,FORGE,10.0,10,20,2000,40,2,0.6292645931243896,0.8962664008140564,0.8297925591468811,0.7627655267715454,0.11376059800386429,0.8378915786743164,0.8834218981474269,0.22550019076919808,0.36104661287513784,0.09446641282618282,0.36104661287513784,0.22775651285066034,0.0347871235721703,0.26028731434136837,0.24299065420560748,0.6040372670807453,0.008761682242990653,0.10322809506917346,0.6252427101135254,0.8403262495994568,0.7867782115936279,0.7327845096588135,0.15003849565982819,0.7760649919509888,0.8599701979057718,0.1192633654113826,0.018684332733499676,0.01668646169351498,0.018684332733499676,0.01768539721350733,0.26739356178608514,0.38665692719746775,0.7663551401869159,0.7476708074534162,0.2050233644859813,0.22170982617949628
grid_stage1,FORGE,10.0,10,20,4500,60,0,0.5902534127235413,0.8893800973892212,0.8149083256721497,0.7398167848587036,0.12086278945207596,0.8257914781570435,0.8698467518185861,0.24225009776904677,0.48137495741361686,0.10667143515464157,0.48137495741361686,0.2940231962841292,0.011404872991187144,0.2536549707602339,0.09216589861751152,0.5735408560311284,0.0011682242990654205,0.10783965945370699,0.5977859497070312,0.8341331481933594,0.7752912044525146,0.7159595489501953,0.15451794862747192,0.7651251554489136,0.844393233064367,0.08473999496754675,0.12318313041295337,0.0053989450756382895,0.12318313041295337,0.06429103774429583,0.2773457750129601,0.36208576998050684,0.8064516129032258,0.6832684824902724,0.2102803738317757,0.21567931890741399
grid_stage1,FORGE,10.0,10,20,4500,60,1,0.598774790763855,0.8891474604606628,0.8168550729751587,0.7439610958099365,0.11917387694120407,0.8262887597084045,0.875586028016496,0.24330447081681214,0.42422696115765424,0.11196589114730338,0.42422696115765424,0.2680964261524788,0.019042717447246525,0.2623471882640587,0.15346534653465346,0.5776923076923077,0.0034462952326249283,0.11541218637992831,0.6315499544143677,0.8417060971260071,0.7893847823143005,0.7366280555725098,0.15237684547901154,0.7785512804985046,0.8617643186558288,0.11316115653081021,0.08586443259710586,0.009489252458624892,0.08586443259710586,0.04767684252786537,0.2753474009264025,0.3885085574572127,0.8366336633663366,0.7507692307692307,0.21022400919012063,0.21971326164874552
grid_stage1,FORGE,10.0,10,20,4500,60,2,0.6292645931243896,0.8962664008140564,0.8297925591468811,0.7627655267715454,0.11376059800386429,0.8378915786743164,0.8834218981474269,0.22550019076919808,0.36104661287513784,0.09446641282618282,0.36104661287513784,0.22775651285066034,0.0347871235721703,0.26028731434136837,0.24299065420560748,0.6040372670807453,0.008761682242990653,0.10322809506917346,0.6271323561668396,0.8355428576469421,0.7836561799049377,0.7313376069068909,0.14934943616390228,0.7717553377151489,0.8665627467650724,0.09492834587555476,0.08180472514076742,0.004402908501390745,0.08180472514076742,0.04310381682107908,0.29854620976116303,0.3934745556367178,0.8411214953271028,0.7593167701863354,0.23072429906542055,0.2263213905640298
grid_stage1,FORGE,10.0,10,20,750,20,0,0.5902534127235413,0.8893800973892212,0.8149083256721497,0.7398167848587036,0.12086278945207596,0.8257914781570435,0.8698467518185861,0.24225009776904677,0.48137495741361686,0.10667143515464157,0.48137495741361686,0.2940231962841292,0.011404872991187144,0.2536549707602339,0.09216589861751152,0.5735408560311284,0.0011682242990654205,0.10783965945370699,0.6232125163078308,0.8749310374259949,0.8122621774673462,0.7490717768669128,0.13351666927337646,0.812199592590332,0.8539077301771698,0.11294674391179263,0.08417938281123916,0.03061957743350363,0.08417938281123916,0.057399480122371394,0.17262830482115085,0.2855750487329435,0.695852534562212,0.6116731517509728,0.10630841121495327,0.1369279886484569
grid_stage1,FORGE,10.0,10,20,750,20,1,0.598774790763855,0.8891474604606628,0.8168550729751587,0.7439610958099365,0.11917387694120407,0.8262887597084045,0.875586028016496,0.24330447081681214,0.42422696115765424,0.11196589114730338,0.42422696115765424,0.2680964261524788,0.019042717447246525,0.2623471882640587,0.15346534653465346,0.5776923076923077,0.0034462952326249283,0.11541218637992831,0.6420071125030518,0.8757396936416626,0.8175486326217651,0.7588734030723572,0.12691630423069,0.8155146837234497,0.8706181796595196,0.14086615233418945,0.015910129474486,0.03638250171388337,0.03638250171388337,0.026146315594184684,0.17086978898610397,0.3117359413202934,0.6782178217821783,0.6623076923076923,0.11200459506031017,0.14838709677419354
grid_stage1,FORGE,10.0,10,20,750,20,2,0.6292645931243896,0.8962664008140564,0.8297925591468811,0.7627655267715454,0.11376059800386429,0.8378915786743164,0.8834218981474269,0.22550019076919808,0.36104661287513784,0.09446641282618282,0.36104661287513784,0.22775651285066034,0.0347871235721703,0.26028731434136837,0.24299065420560748,0.6040372670807453,0.008761682242990653,0.10322809506917346,0.6233681440353394,0.871806263923645,0.8099541068077087,0.7475872039794922,0.14090067148208618,0.808718740940094,0.8459941295075999,0.057705217215194476,0.0595866953038835,0.043797429326366794,0.0595866953038835,0.051692062315125145,0.21962616822429906,0.27733138543949354,0.6869158878504673,0.6273291925465838,0.16121495327102803,0.11741752394466123
grid_stage1,FORGE,10.0,10,30,2000,40,0,0.6013877987861633,0.8908361792564392,0.8187739253044128,0.7461119890213013,0.1187206506729126,0.8286092877388,0.8755487056028584,0.2409336261857339,0.450795244669978,0.10692215374312493,0.450795244669978,0.2788586992065515,0.017107309486780714,0.2580409356725146,0.1336405529953917,0.5844357976653697,0.002336448598130841,0.10925860234125577,0.6012157201766968,0.8505013585090637,0.7884382009506226,0.7258585691452026,0.14456264674663544,0.7825294137001038,0.8469393122860389,0.07750053810870708,0.09219100216966414,0.007608998352302304,0.09219100216966414,0.04990000026098322,0.24364955935717988,0.32115009746588696,0.7373271889400922,0.645136186770428,0.1810747663551402,0.1734657680028379
grid_stage1,FORGE,10.0,10,30,2000,40,1,0.6109840273857117,0.8919949531555176,0.8220334053039551,0.751489520072937,0.11606191843748093,0.8309298753738403,0.8832425595417395,0.2442311249586315,0.4274028941355674,0.10874008469569049,0.4274028941355674,0.26807148941562897,0.02007205352547607,0.26430317848410756,0.16336633663366337,0.5907692307692308,0.0034462952326249283,0.11218637992831541,0.5870503783226013,0.8329647183418274,0.7717409133911133,0.7100075483322144,0.15521082282066345,0.7621415257453918,0.8343948670220035,0.08231517566035429,0.044744859101294665,0.014754631602568458,0.044744859101294665,0.02974974535193156,0.2712300566134843,0.3535452322738386,0.7178217821782178,0.6730769230769231,0.21941412981045377,0.20465949820788532
grid_stage1,FORGE,10.0,10,30,2000,40,2,0.6408056616783142,0.8973894119262695,0.8335093259811401,0.7690975666046143,0.1123751550912857,0.840377926826477,0.8870661232679973,0.2390209102762778,0.3999100249608174,0.10037156080402343,0.3999100249608174,0.2501407928824204,0.03271028037383177,0.2717311906501096,0.22897196261682243,0.6288819875776398,0.008177570093457943,0.10854913089748137,0.6487444639205933,0.863034188747406,0.8096837997436523,0.7558892965316772,0.13580289483070374,0.8029173016548157,0.8720156395607004,0.1473049204799647,0.04119986068381032,0.04938866105499068,0.04938866105499068,0.0452942608694005,0.2118380062305296,0.3591429267104943,0.7663551401869159,0.7251552795031055,0.1425233644859813,0.19191202554097198
grid_stage1,FORGE,10.0,10,30,4500,60,0,0.6013877987861633,0.8908361792564392,0.8187739253044128,0.7461119890213013,0.1187206506729126,0.8286092877388,0.8755487056028584,0.2409336261857339,0.450795244669978,0.10692215374312493,0.450795244669978,0.2788586992065515,0.017107309486780714,0.2580409356725146,0.1336405529953917,0.5844357976653697,0.002336448598130841,0.10925860234125577,0.6032689809799194,0.8465693593025208,0.7859962582588196,0.7249191999435425,0.14511039853096008,0.778717041015625,0.852158793057796,0.14073740598255619,0.014226541627068823,0.05014351049122609,0.05014351049122609,0.032185026059147456,0.2130637636080871,0.3538011695906433,0.663594470046083,0.6778210116731518,0.15595794392523366,0.20610145441645975
grid_stage1,FORGE,10.0,10,30,4500,60,1,0.6109840273857117,0.8919949531555176,0.8220334053039551,0.751489520072937,0.11606191843748093,0.8309298753738403,0.8832425595417395,0.2442311249586315,0.4274028941355674,0.10874008469569049,0.4274028941355674,0.26807148941562897,0.02007205352547607,0.26430317848410756,0.16336633663366337,0.5907692307692308,0.0034462952326249283,0.11218637992831541,0.606930136680603,0.8265647888183594,0.7718836665153503,0.7167474627494812,0.15794359147548676,0.7593237161636353,0.8511238307725357,0.11460373706880822,0.05284843869002287,0.015412803995561414,0.05284843869002287,0.03413062134279214,0.2856407617086979,0.4002444987775061,0.7920792079207921,0.7392307692307692,0.22688110281447443,0.24229390681003585
grid_stage1,FORGE,10.0,10,30,4500,60,2,0.6408056616783142,0.8973894119262695,0.8335093259811401,0.7690975666046143,0.1123751550912857,0.840377926826477,0.8870661232679973,0.2390209102762778,0.3999100249608174,0.10037156080402343,0.3999100249608174,0.2501407928824204,0.03271028037383177,0.2717311906501096,0.22897196261682243,0.6288819875776398,0.008177570093457943,0.10854913089748137,0.6166977882385254,0.8272213339805603,0.7748085260391235,0.7219595909118652,0.15443994104862213,0.7618100643157959,0.8580845343852571,0.08263188674908806,0.034313867765716655,0.024198695102989415,0.034313867765716655,0.029256281434353035,0.3161993769470405,0.39883126369612854,0.7990654205607477,0.764751552795031,0.2558411214953271,0.2316424263923377
grid_stage1,FORGE,10.0,10,30,750,20,0,0.6013877987861633,0.8908361792564392,0.8187739253044128,0.7461119890213013,0.1187206506729126,0.8286092877388,0.8755487056028584,0.2409336261857339,0.450795244669978,0.10692215374312493,0.450795244669978,0.2788586992065515,0.017107309486780714,0.2580409356725146,0.1336405529953917,0.5844357976653697,0.002336448598130841,0.10925860234125577,0.607201874256134,0.8684588670730591,0.8034152984619141,0.737830400466919,0.13473324477672577,0.8029173016548157,0.8426714795927214,0.04770977902679632,0.09280065986479946,0.043213317176834104,0.09280065986479946,0.06800698852081678,0.22032141005702435,0.2680311890838207,0.6912442396313364,0.598443579766537,0.16063084112149534,0.11741752394466123
grid_stage1,FORGE,10.0,10,30,750,20,1,0.6109840273857117,0.8919949531555176,0.8220334053039551,0.751489520072937,0.11606191843748093,0.8309298753738403,0.8832425595417395,0.2442311249586315,0.4274028941355674,0.10874008469569049,0.4274028941355674,0.26807148941562897,0.02007205352547607,0.26430317848410756,0.16336633663366337,0.5907692307692308,0.0034462952326249283,0.11218637992831541,0.6319283246994019,0.8774991631507874,0.8163608312606812,0.754713773727417,0.12422698736190796,0.8161776661872864,0.8707742284913429,0.11587593606036087,0.07989337395277984,0.021259771193995136,0.07989337395277984,0.05057657257338749,0.1718991250643335,0.28777506112469436,0.7029702970297029,0.6230769230769231,0.1102814474439977,0.13154121863799284
grid_stage1,FORGE,10.0,10,30,750,20,2,0.6408056616783142,0.8973894119262695,0.8335093259811401,0.7690975666046143,0.1123751550912857,0.840377926826477,0.8870661232679973,0.2390209102762778,0.3999100249608174,0.10037156080402343,0.3999100249608174,0.2501407928824204,0.03271028037383177,0.2717311906501096,0.22897196261682243,0.6288819875776398,0.008177570093457943,0.10854913089748137,0.6431688666343689,0.8830196857452393,0.8233054280281067,0.7630943059921265,0.12330113351345062,0.8238024115562439,0.872984552928913,0.08048260435226842,0.05725750275729957,0.021499844181505343,0.05725750275729957,0.03937867346940246,0.19003115264797507,0.2705137570002435,0.6869158878504673,0.6296583850931677,0.12792056074766356,0.10642071656615822
grid_stage1,FORGE,10.0,15,10,2000,40,0,0.5355236530303955,0.8825667500495911,0.7961654663085938,0.7090451717376709,0.13153843581676483,0.812531054019928,0.8388700301312366,0.18999784756517177,0.32963832953791533,0.08465917190758306,0.32963832953791533,0.2071487507227492,0.025401762571280455,0.21539961013645223,0.15207373271889402,0.48171206225680935,0.009345794392523364,0.09400496630010642,0.6098191142082214,0.8157637715339661,0.7644909620285034,0.7127914428710938,0.15710507333278656,0.7497099041938782,0.8491664611974734,0.14719167886885004,0.002582079649984692,0.051519976262544204,0.051519976262544204,0.027051027956264448,0.29237947122861585,0.4395711500974659,0.783410138248848,0.7859922178988327,0.23014018691588786,0.28166016317843207
grid_stage1,FORGE,10.0,15,10,2000,40,1,0.581163763999939,0.8842818140983582,0.8088163137435913,0.7327227592468262,0.12417822331190109,0.818664014339447,0.8656664945525441,0.23495363583398243,0.41797410510281796,0.10808314753396371,0.41797410510281796,0.26302862631839086,0.024704065877509007,0.25965770171149144,0.14356435643564355,0.5615384615384615,0.010913268236645606,0.11899641577060932,0.6215159893035889,0.8233863711357117,0.7731279134750366,0.7224512100219727,0.15890666842460632,0.7591579556465149,0.8518484586577861,0.12272605440884271,0.05466108149276461,0.01732473612372079,0.05466108149276461,0.0359929088082427,0.30416881111682964,0.42689486552567235,0.8415841584158416,0.786923076923077,0.24181504882251578,0.2591397849462366
grid_stage1,FORGE,10.0,15,10,2000,40,2,0.6069950461387634,0.8889124393463135,0.8187251687049866,0.7479537725448608,0.11717680841684341,0.8267859816551208,0.8780226379540735,0.233664202216867,0.37588523828873277,0.10819708884637955,0.37588523828873277,0.24204116356755617,0.03271028037383177,0.2663744825906988,0.21495327102803738,0.5908385093167702,0.009929906542056074,0.11812699538843562,0.645196795463562,0.8471481204032898,0.7968695163726807,0.7461724281311035,0.14244084060192108,0.7863417863845825,0.8735708380880227,0.1649785678580829,0.060036570499796826,0.07168106606372646,0.07168106606372646,0.06585881828176164,0.24091381100726894,0.40589237886535184,0.8317757009345794,0.7717391304347826,0.16705607476635514,0.2387371408300816
grid_stage1,FORGE,10.0,15,10,4500,60,0,0.5355236530303955,0.8825667500495911,0.7961654663085938,0.7090451717376709,0.13153843581676483,0.812531054019928,0.8388700301312366,0.18999784756517177,0.32963832953791533,0.08465917190758306,0.32963832953791533,0.2071487507227492,0.025401762571280455,0.21539961013645223,0.15207373271889402,0.48171206225680935,0.009345794392523364,0.09400496630010642,0.6223868727684021,0.8278025984764099,0.7766614556312561,0.725094735622406,0.15461111068725586,0.7634676098823547,0.856407229851113,0.11053889692262453,0.05978231634061937,0.013147185486999086,0.05978231634061937,0.03646475091380923,0.3022291342664593,0.41276803118908384,0.8341013824884793,0.77431906614786,0.23481308411214954,0.24796026959914863
grid_stage1,FORGE,10.0,15,10,4500,60,1,0.581163763999939,0.8842818140983582,0.8088163137435913,0.7327227592468262,0.12417822331190109,0.818664014339447,0.8656664945525441,0.23495363583398243,0.41797410510281796,0.10808314753396371,0.41797410510281796,0.26302862631839086,0.024704065877509007,0.25965770171149144,0.14356435643564355,0.5615384615384615,0.010913268236645606,0.11899641577060932,0.6348954439163208,0.8336349129676819,0.7841559648513794,0.7342652082443237,0.15107613801956177,0.7714238166809082,0.8665008121298432,0.14324797058464528,0.11296268088347294,0.047054693981747386,0.11296268088347294,0.08000868743261016,0.2799794132784354,0.4232273838630807,0.8960396039603961,0.7830769230769231,0.20850086157380815,0.25555555555555554
grid_stage1,FORGE,10.0,15,10,4500,60,2,0.6069950461387634,0.8889124393463135,0.8187251687049866,0.7479537725448608,0.11717680841684341,0.8267859816551208,0.8780226379540735,0.233664202216867,0.37588523828873277,0.10819708884637955,0.37588523828873277,0.24204116356755617,0.03271028037383177,0.2663744825906988,0.21495327102803738,0.5908385093167702,0.009929906542056074,0.11812699538843562,0.654703676700592,0.8485932350158691,0.8003216981887817,0.7516484260559082,0.1451340615749359,0.7894911170005798,0.874034649893719,0.1545799398792579,0.08423550240900912,0.05845452089128178,0.08423550240900912,0.07134501165014545,0.2554517133956386,0.4100316532748965,0.8738317757009346,0.7895962732919255,0.17815420560747663,0.23660872649875841
grid_stage1,FORGE,10.0,15,10,750,20,0,0.5355236530303955,0.8825667500495911,0.7961654663085938,0.7090451717376709,0.13153843581676483,0.812531054019928,0.8388700301312366,0.18999784756517177,0.32963832953791533,0.08465917190758306,0.32963832953791533,0.2071487507227492,0.025401762571280455,0.21539961013645223,0.15207373271889402,0.48171206225680935,0.009345794392523364,0.09400496630010642,0.6120930910110474,0.8585002422332764,0.7971537113189697,0.7352966666221619,0.14042207598686218,0.7926404476165771,0.8417946232801934,0.13482086285352227,0.03988237192705624,0.05078356811091625,0.05078356811091625,0.04533297001898624,0.19388284085018145,0.3287037037037037,0.6912442396313364,0.6513618677042802,0.1308411214953271,0.18162468960624334
