method,dataset,seed,eo_tpr_diff,eod_max_diff,eod_avg_diff,dp_diff,tpr_g0,tpr_g1,fpr_g0,fpr_g1,f1_weighted,f1_macro,f1_minority,f1_majority,roc_auc,brier,acc
FLB,Capture-24,4,0.198578,0.198578,0.114821,0.043501,0.940822,0.742243,0.172346,0.141283,0.894596,0.573299,0.233226,0.913373,0.917659,0.129263,0.844332
FLB,Capture-24,5,0.097882,0.097882,0.060703,0.087574,0.958295,0.860413,0.104678,0.128202,0.904972,0.707007,0.480599,0.933415,0.941254,0.083512,0.881961
FLB,Capture-24,42,0.124809,0.124809,0.068874,0.016373,0.917678,0.792869,0.102005,0.089067,0.920623,0.715285,0.485052,0.945518,0.945697,0.073044,0.901462
FairTabDDPM,Capture-24,0,0.038298,0.038298,0.020164,0.002089,0.608824,0.570526,0.023535,0.025566,0.967101,0.736147,0.490857,0.981437,0.942603,0.029917,0.964181
FairTabDDPM,Capture-24,3,0.221770,0.221770,0.113830,0.033023,0.606205,0.384435,0.023978,0.029868,0.919918,0.730278,0.500687,0.959870,0.905562,0.065021,0.925710
FairTabDDPM,Capture-24,4,0.346248,0.346248,0.178822,0.025142,0.602413,0.256165,0.045847,0.034450,0.954008,0.645798,0.319576,0.972020,0.921985,0.046219,0.946250
FairTabDDPM,Capture-24,5,0.440343,0.440343,0.221650,0.022294,0.807229,0.366886,0.024702,0.021746,0.937180,0.716869,0.464904,0.968834,0.924784,0.050129,0.941098
FairTabDDPM,Capture-24,42,0.189157,0.189157,0.104759,0.027631,0.665724,0.476567,0.038545,0.018186,0.950424,0.762528,0.551851,0.973205,0.952095,0.042602,0.949433
SMOTE,Capture-24,0,0.289855,0.289855,0.146752,0.013836,0.501765,0.211910,0.011879,0.008230,0.969310,0.708169,0.430817,0.985520,0.883274,0.026010,0.971758
SMOTE,Capture-24,3,0.116671,0.116671,0.058685,0.023190,0.394391,0.277721,0.008641,0.009340,0.916948,0.697178,0.431110,0.963247,0.834026,0.064806,0.930954
SMOTE,Capture-24,4,0.201000,0.201000,0.104995,0.016883,0.343005,0.142005,0.022804,0.013814,0.960931,0.626703,0.272943,0.980463,0.861597,0.034980,0.961949
SMOTE,Capture-24,5,0.496247,0.496247,0.248961,0.010233,0.715477,0.219231,0.016330,0.014655,0.929621,0.661222,0.354262,0.968183,0.876027,0.056334,0.939354
SMOTE,Capture-24,42,0.057182,0.057182,0.031098,0.000513,0.313155,0.370336,0.017408,0.012392,0.944167,0.699022,0.424157,0.973888,0.917844,0.044681,0.950042
CTGAN,Capture-24,0,0.243061,0.243061,0.122664,0.010582,0.371471,0.128410,0.008527,0.006259,0.966480,0.664023,0.342792,0.985254,0.876276,0.025866,0.971156
CTGAN,Capture-24,3,0.140957,0.140957,0.071297,0.021399,0.402148,0.261191,0.009609,0.011245,0.914264,0.687656,0.413309,0.962003,0.889300,0.063377,0.928628
CTGAN,Capture-24,4,0.296222,0.296222,0.149006,0.008885,0.372594,0.076372,0.014442,0.016233,0.962253,0.629591,0.277488,0.981694,0.892999,0.030849,0.964293
CTGAN,Capture-24,5,0.229571,0.229571,0.115182,0.032968,0.636701,0.407129,0.013938,0.014730,0.945547,0.747709,0.521446,0.973971,0.924396,0.043613,0.950628
CTGAN,Capture-24,42,0.029845,0.029845,0.020439,0.007377,0.416764,0.446609,0.021258,0.010225,0.950255,0.739279,0.502724,0.975834,0.950378,0.038532,0.953908
